Name;Age
Adrián Paredes Sánchez;49
Alma Paredes Ortega;11
Álvaro Méndez Soto;41
Andrés Gutiérrez López;45
Beatriz Soto Morales;44
Camila Herrera Jiménez;7
Carmen Ruiz Navarro;66
Clara Navarro Sánchez;28
Daniel Ríos Molina;13
Diego Fernández Ruiz;16
Elena Jiménez Ruiz;39
Fernando López Gutiérrez;50
Gonzalo Díaz Ortega;72
Isabel Vargas Díaz;29
Iván Morales Castro;15
Javier Ortega Castro;61
Laura Castillo Herrera;33
Lucía Martínez Gómez;14
Marta Díaz Fernández;32
Mateo Sánchez Navarro;9
Nicolás Vega Salazar;16
Nuria Castro López;31
Pablo Salazar Fernández;37
Patricia Molina Vargas;47
Raquel Fernández Jiménez;26
Roberto Torres Méndez;53
Sergio Ramírez Paredes;55
Sofía López Torres;12
Tomás Méndez Vargas;58
Valentina Ramírez Vargas;17
